modern_label,category,closest_naics_6,naics_title,sector_profile_id,confidence,mapping_method
Mushroom Farm (Specialty),Niche & Emerging,111419,Other Food Crops Grown Under Cover,agriculture.crop_farming,high,modern_via_naics6
NFT Artist / Web3 Creator,Niche & Emerging,711510,"Independent Artists, Writers, and Performers",recreation.performing_arts,high,modern_via_naics6
Newsletter Acquirer,Niche & Emerging,519290,Web Search Portals and All Other Information Services,information.media_publishing,high,modern_keyword_override
Online Community Operator (Discord),Niche & Emerging,519290,Web Search Portals and All Other Information Services,information.media_publishing,high,modern_via_naics6
Oyster / Shellfish Farm,Niche & Emerging,112512,Shellfish Farming,agriculture.livestock,high,modern_via_naics6
Public Library / Government Library,Niche & Emerging,519210,Libraries and Archives,OUT_OF_SCOPE_NICHE,high,modern_keyword_override
"Reseller (Amazon, eBay, Whatnot)",Niche & Emerging,454110,Electronic Shopping and Mail-Order Houses,retail.ecommerce_dtc,high,modern_via_naics6
Self-Storage Facility,Niche & Emerging,531130,Lessors of Miniwarehouses and Self-Storage Units,real_estate.self_storage,high,modern_via_naics6
Sports Bettor / Handicapper,Niche & Emerging,713290,Other Gambling Industries,recreation.amusement_attraction,high,modern_via_naics6
Subscription Newsletter (paid),Niche & Emerging,511210,Software Publishers,information.media_publishing,high,modern_keyword_override
Substack / Patreon Creator,Niche & Emerging,519290,Web Search Portals and All Other Information Services,information.media_publishing,high,modern_via_naics6
Trade Show Booth Builder,Niche & Emerging,561920,Convention and Trade Show Organizers,admin.office_business_support,high,modern_via_naics6
U-Pick Farm / Pumpkin Patch,Niche & Emerging,111219,Other Vegetable (except Potato) and Melon Farming,agriculture.crop_farming,high,modern_via_naics6
Vending Machine Route,Niche & Emerging,454210,Vending Machine Operators,retail.fuel_general_misc,high,modern_via_naics6
Wash-and-Fold Service,Niche & Emerging,812320,Drycleaning and Laundry Services (except Coin-Operated),other_services.dry_cleaning_laundry,high,modern_via_naics6
Website Flipper,Niche & Emerging,519290,Web Search Portals and All Other Information Services,information.media_publishing,high,modern_via_naics6
Whatnot / Live Shopping Streamer,Niche & Emerging,454110,Electronic Shopping and Mail-Order Houses,information.media_publishing,high,modern_keyword_override
Babysitting Service,Personal Services (modern formats),624410,Child Day Care Services,healthcare.social_assistance,high,modern_via_naics6
Barbershop,Personal Services (modern formats),812111,Barber Shops,other_services.personal_care,high,modern_via_naics6
Blowout Bar,Personal Services (modern formats),812112,Beauty Salons,other_services.personal_care,high,modern_via_naics6
Brow Bar / Microblading Studio,Personal Services (modern formats),812199,Other Personal Care Services,other_services.personal_care,high,modern_via_naics6
Career Coach,Personal Services (modern formats),611430,Professional and Management Development Training,education.bootcamps_online,high,modern_via_naics6
Closet Organizer / Home Organizer,Personal Services (modern formats),561720,Janitorial Services,admin.facility_services,high,modern_via_naics6
Cryotherapy Studio,Personal Services (modern formats),812199,Other Personal Care Services,other_services.personal_care,high,modern_via_naics6
Day Spa,Personal Services (modern formats),812199,Other Personal Care Services,other_services.personal_care,high,modern_via_naics6
Dog Daycare,Personal Services (modern formats),812910,Pet Care (except Veterinary) Services,other_services.personal_care,high,modern_via_naics6
Dog Walker,Personal Services (modern formats),812910,Pet Care (except Veterinary) Services,other_services.personal_care,high,modern_via_naics6
Doggy Hotel / Pet Resort,Personal Services (modern formats),812910,Pet Care (except Veterinary) Services,other_services.personal_care,high,modern_via_naics6
Doula / Birth Coach,Personal Services (modern formats),621399,Offices of All Other Miscellaneous Health Practitioners,healthcare.allied_health,high,modern_via_naics6
Errand Service,Personal Services (modern formats),812990,All Other Personal Services,other_services.personal_care,high,modern_via_naics6
Float Tank / Sensory Deprivation,Personal Services (modern formats),812199,Other Personal Care Services,other_services.personal_care,high,modern_via_naics6
Hair Braiding Salon,Personal Services (modern formats),812112,Beauty Salons,other_services.personal_care,high,modern_via_naics6
Hair Replacement Studio,Personal Services (modern formats),812112,Beauty Salons,other_services.personal_care,high,modern_via_naics6
Hair Salon,Personal Services (modern formats),812112,Beauty Salons,other_services.personal_care,high,modern_via_naics6
Home Cleaning Service,Personal Services (modern formats),561720,Janitorial Services,admin.facility_services,high,modern_via_naics6
IV Hydration Bar,Personal Services (modern formats),621498,All Other Outpatient Care Centers,healthcare.specialty_clinic,high,modern_keyword_override
Infrared Sauna Studio,Personal Services (modern formats),812199,Other Personal Care Services,other_services.personal_care,high,modern_via_naics6
Lash Studio / Eyelash Extensions,Personal Services (modern formats),812199,Other Personal Care Services,other_services.personal_care,high,modern_via_naics6
Life Coach,Personal Services (modern formats),624190,Other Individual and Family Services,healthcare.social_assistance,high,modern_via_naics6
Massage Studio,Personal Services (modern formats),812199,Other Personal Care Services,other_services.personal_care,high,modern_via_naics6
Med Spa / Medical Spa,Personal Services (modern formats),812199,Other Personal Care Services,other_services.personal_care,high,modern_keyword_override
Mobile Pet Grooming,Personal Services (modern formats),812910,Pet Care (except Veterinary) Services,other_services.personal_care,high,modern_via_naics6
Move-Out Cleaning,Personal Services (modern formats),561720,Janitorial Services,admin.facility_services,high,modern_via_naics6
Nail Salon,Personal Services (modern formats),812113,Nail Salons,other_services.personal_care,high,modern_via_naics6
Nanny / Au Pair Service,Personal Services (modern formats),624410,Child Day Care Services,healthcare.social_assistance,high,modern_via_naics6
Permanent Makeup Studio,Personal Services (modern formats),812199,Other Personal Care Services,other_services.personal_care,high,modern_via_naics6
Personal Concierge,Personal Services (modern formats),812990,All Other Personal Services,other_services.personal_care,high,modern_via_naics6
Personal Shopper / Stylist,Personal Services (modern formats),812990,All Other Personal Services,other_services.personal_care,high,modern_via_naics6
Personal Trainer,Personal Services (modern formats),713940,Fitness and Recreational Sports Centers,recreation.fitness_studio,high,modern_via_naics6
Pet Boarding / Kennel,Personal Services (modern formats),812910,Pet Care (except Veterinary) Services,other_services.personal_care,high,modern_via_naics6
Pet Grooming,Personal Services (modern formats),812910,Pet Care (except Veterinary) Services,other_services.personal_care,high,modern_via_naics6
Pet Sitter,Personal Services (modern formats),812910,Pet Care (except Veterinary) Services,other_services.personal_care,high,modern_via_naics6
Piercing Studio,Personal Services (modern formats),812199,Other Personal Care Services,other_services.personal_care,high,modern_via_naics6
Postpartum Doula,Personal Services (modern formats),624110,Child and Youth Services,healthcare.social_assistance,high,modern_via_naics6
Press-On Nail Studio,Personal Services (modern formats),812113,Nail Salons,other_services.personal_care,high,modern_via_naics6
Spray Tan Studio,Personal Services (modern formats),812199,Other Personal Care Services,other_services.personal_care,high,modern_via_naics6
Tanning Salon,Personal Services (modern formats),812199,Other Personal Care Services,other_services.personal_care,high,modern_via_naics6
Tattoo Parlor,Personal Services (modern formats),812199,Other Personal Care Services,other_services.personal_care,high,modern_via_naics6
Thai Massage Studio,Personal Services (modern formats),812199,Other Personal Care Services,other_services.personal_care,high,modern_via_naics6
Wig Shop,Personal Services (modern formats),458110,Clothing and Clothing Accessories Retailers,retail.specialty_brick_mortar,high,modern_via_naics6
Adventure Tour Operator,Professional Services (modern formats),561520,Tour Operators,admin.office_business_support,high,modern_via_naics6
Auction House,Professional Services (modern formats),454390,Other Direct Selling Establishments,retail.fuel_general_misc,high,modern_via_naics6
Bookkeeper / Virtual Bookkeeper,Professional Services (modern formats),541219,Other Accounting Services,professional.accounting,high,modern_via_naics6
Branding Agency,Professional Services (modern formats),541613,Marketing Consulting Services,professional.consulting,high,modern_via_naics6
Business Coach,Professional Services (modern formats),541611,Administrative Management and General Management Consulting Services,professional.consulting,high,modern_via_naics6
CPA Firm,Professional Services (modern formats),541211,Offices of Certified Public Accountants,professional.accounting,high,modern_via_naics6
City / Walking Tour Operator,Professional Services (modern formats),561520,Tour Operators,admin.office_business_support,high,modern_via_naics6
Court Reporter,Professional Services (modern formats),541990,"All Other Professional, Scientific, and Technical Services",professional.consulting,high,modern_via_naics6
Death Doula,Professional Services (modern formats),624190,Other Individual and Family Services,healthcare.social_assistance,high,modern_via_naics6
Enrolled Agent / IRS Representative,Professional Services (modern formats),541213,Tax Preparation Services,professional.accounting,high,modern_via_naics6
Estate Sale Company,Professional Services (modern formats),541990,"All Other Professional, Scientific, and Technical Services",professional.consulting,high,modern_via_naics6
Executive Coach,Professional Services (modern formats),541611,Administrative Management and General Management Consulting Services,professional.consulting,high,modern_via_naics6
Food Tour Operator,Professional Services (modern formats),561520,Tour Operators,admin.office_business_support,high,modern_via_naics6
Fractional CFO Service,Professional Services (modern formats),541219,Other Accounting Services,professional.accounting,high,modern_via_naics6
Genealogist,Professional Services (modern formats),541990,"All Other Professional, Scientific, and Technical Services",professional.consulting,high,modern_via_naics6
HR Consultant,Professional Services (modern formats),541612,Human Resources Consulting Services,professional.consulting,high,modern_via_naics6
Immigration Consultant,Professional Services (modern formats),541990,"All Other Professional, Scientific, and Technical Services",professional.consulting,high,modern_via_naics6
Mediator,Professional Services (modern formats),541199,All Other Legal Services,professional.legal,high,modern_via_naics6
Mobile Notary,Professional Services (modern formats),541199,All Other Legal Services,professional.legal,high,modern_via_naics6
Mobile Pet Cremation,Professional Services (modern formats),812220,Cemeteries and Crematories,other_services.death_care,high,modern_via_naics6
Notary Public (Mobile),Professional Services (modern formats),541199,All Other Legal Services,professional.legal,high,modern_via_naics6
Officiant / Wedding Officiant,Professional Services (modern formats),812990,All Other Personal Services,professional.consulting,high,officiant_remap_from_813110
Online Auction (Estate),Professional Services (modern formats),454390,Other Direct Selling Establishments,retail.fuel_general_misc,high,modern_via_naics6
Operations Consultant,Professional Services (modern formats),541611,Administrative Management and General Management Consulting Services,professional.consulting,high,modern_via_naics6
PR / Public Relations Agency,Professional Services (modern formats),541820,Public Relations Agencies,professional.consulting,high,modern_via_naics6
Patent / Trademark Agent,Professional Services (modern formats),541110,Offices of Lawyers,professional.legal,high,modern_via_naics6
Private Investigator,Professional Services (modern formats),561611,Investigation and Personal Background Check Services,admin.security_pest,high,modern_via_naics6
Private Security / Bodyguard,Professional Services (modern formats),561612,Security Guards and Patrol Services,admin.security_pest,high,modern_via_naics6
Process Server,Professional Services (modern formats),561499,All Other Business Support Services,admin.office_business_support,high,modern_via_naics6
Recruiter / Headhunter,Professional Services (modern formats),561312,Executive Search Services,admin.staffing_agency,high,modern_via_naics6
Resume Writer / Career Services,Professional Services (modern formats),541612,Human Resources Consulting Services,professional.consulting,high,modern_via_naics6
Sales Trainer,Professional Services (modern formats),611430,Professional and Management Development Training,education.bootcamps_online,high,modern_via_naics6
Tax Prep Service / Tax Office,Professional Services (modern formats),541213,Tax Preparation Services,professional.accounting,high,modern_via_naics6
Tour Guide / Tour Operator,Professional Services (modern formats),561520,Tour Operators,admin.office_business_support,high,modern_via_naics6
Translator / Interpreter,Professional Services (modern formats),541930,Translation and Interpretation Services,professional.consulting,high,modern_via_naics6
Travel Agent,Professional Services (modern formats),561510,Travel Agencies,admin.office_business_support,high,modern_via_naics6
Amazon FBA Seller,Retail & E-commerce (modern formats),454110,Electronic Shopping and Mail-Order Houses,retail.ecommerce_dtc,high,modern_keyword_override
Antique Mall / Antique Store,Retail & E-commerce (modern formats),459510,Used Merchandise Retailers,retail.specialty_brick_mortar,high,modern_via_naics6
Bike Shop,Retail & E-commerce (modern formats),459110,Sporting Goods Retailers,retail.specialty_brick_mortar,high,modern_via_naics6
Board Game Store,Retail & E-commerce (modern formats),459120,"Hobby, Toy, and Game Retailers",retail.specialty_brick_mortar,high,modern_via_naics6
Bookstore (Independent),Retail & E-commerce (modern formats),459210,Book Retailers and News Dealers,retail.specialty_brick_mortar,high,modern_via_naics6
Bulk / Whole Foods Store,Retail & E-commerce (modern formats),445298,All Other Specialty Food Retailers,retail.grocery_food,high,modern_via_naics6
CBD Store,Retail & E-commerce (modern formats),459999,All Other Miscellaneous Store Retailers (except Tobacco Stores),retail.specialty_brick_mortar,high,modern_keyword_override
Cannabis Dispensary (state-legal),Retail & E-commerce (modern formats),459998,Cannabis Dispensaries (state-legal),OUT_OF_SCOPE_REGULATED,high,modern_keyword_override
Cheese Shop,Retail & E-commerce (modern formats),445298,All Other Specialty Food Retailers,retail.grocery_food,high,modern_via_naics6
Chocolate Shop / Chocolatier,Retail & E-commerce (modern formats),445298,All Other Specialty Food Retailers,retail.grocery_food,high,modern_via_naics6
Comic Book Shop,Retail & E-commerce (modern formats),459420,"Gift, Novelty, and Souvenir Retailers",retail.specialty_brick_mortar,high,modern_via_naics6
Consignment Shop,Retail & E-commerce (modern formats),459510,Used Merchandise Retailers,retail.specialty_brick_mortar,high,modern_via_naics6
Crystal / Metaphysical Shop,Retail & E-commerce (modern formats),459999,All Other Miscellaneous Store Retailers (except Tobacco Stores),retail.specialty_brick_mortar,high,modern_via_naics6
Dropshipping Store,Retail & E-commerce (modern formats),454110,Electronic Shopping and Mail-Order Houses,retail.ecommerce_dtc,high,modern_keyword_override
Etsy / Handmade Seller,Retail & E-commerce (modern formats),459999,All Other Miscellaneous Store Retailers (except Tobacco Stores),retail.specialty_brick_mortar,high,modern_via_naics6
Farmers Market Vendor,Retail & E-commerce (modern formats),445230,Fruit and Vegetable Retailers,retail.grocery_food,high,modern_via_naics6
Flea Market Vendor,Retail & E-commerce (modern formats),459999,All Other Miscellaneous Store Retailers (except Tobacco Stores),retail.specialty_brick_mortar,high,modern_via_naics6
Game Store / Video Game Retailer,Retail & E-commerce (modern formats),459120,"Hobby, Toy, and Game Retailers",retail.specialty_brick_mortar,high,modern_via_naics6
Olive Oil / Vinegar Tasting Shop,Retail & E-commerce (modern formats),445298,All Other Specialty Food Retailers,retail.grocery_food,high,modern_via_naics6
Online-Only Store / DTC Brand,Retail & E-commerce (modern formats),455110,Department Stores,retail.fuel_general_misc,high,modern_via_naics6
Outdoor Outfitter,Retail & E-commerce (modern formats),459110,Sporting Goods Retailers,retail.specialty_brick_mortar,high,modern_via_naics6
Pawn Shop,Retail & E-commerce (modern formats),522298,All Other Nondepository Credit Intermediation,finance.community_bank,high,modern_via_naics6
Plant Shop / Indoor Plant Boutique,Retail & E-commerce (modern formats),444240,"Nursery, Garden Center, and Farm Supply Retailers",retail.building_home,high,modern_via_naics6
Pop-Up Shop,Retail & E-commerce (modern formats),459999,All Other Miscellaneous Store Retailers (except Tobacco Stores),retail.specialty_brick_mortar,high,modern_via_naics6
Print-on-Demand Shop,Retail & E-commerce (modern formats),454110,Electronic Shopping and Mail-Order Houses,retail.ecommerce_dtc,high,modern_via_naics6
Record Store / Vinyl Shop,Retail & E-commerce (modern formats),459140,Musical Instrument and Supplies Retailers,retail.specialty_brick_mortar,high,modern_via_naics6
Refill / Zero-Waste Store,Retail & E-commerce (modern formats),445298,All Other Specialty Food Retailers,retail.grocery_food,high,modern_via_naics6
Religious Goods Store,Retail & E-commerce (modern formats),459999,All Other Miscellaneous Store Retailers (except Tobacco Stores),retail.specialty_brick_mortar,high,modern_via_naics6
Reseller / Flipper,Retail & E-commerce (modern formats),459510,Used Merchandise Retailers,retail.specialty_brick_mortar,high,modern_via_naics6
Smoke Shop / Head Shop,Retail & E-commerce (modern formats),459991,"Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers",retail.specialty_brick_mortar,high,modern_via_naics6
Sneaker Resale Shop,Retail & E-commerce (modern formats),459510,Used Merchandise Retailers,retail.specialty_brick_mortar,high,modern_via_naics6
Specialty Coffee Roaster,Retail & E-commerce (modern formats),311920,Coffee and Tea Manufacturing,manufacturing.food_beverage_dtc,high,modern_keyword_override
Spice Shop,Retail & E-commerce (modern formats),445298,All Other Specialty Food Retailers,retail.grocery_food,high,modern_via_naics6
Subscription Box Service,Retail & E-commerce (modern formats),454110,Electronic Shopping and Mail-Order Houses,retail.ecommerce_dtc,high,modern_keyword_override
Surf Shop / Skate Shop,Retail & E-commerce (modern formats),459110,Sporting Goods Retailers,retail.specialty_brick_mortar,high,modern_via_naics6
Tabletop Gaming / TCG Shop,Retail & E-commerce (modern formats),459120,"Hobby, Toy, and Game Retailers",retail.specialty_brick_mortar,high,modern_via_naics6
Tea Shop,Retail & E-commerce (modern formats),445298,All Other Specialty Food Retailers,retail.grocery_food,high,modern_via_naics6
Thrift Store,Retail & E-commerce (modern formats),459510,Used Merchandise Retailers,retail.specialty_brick_mortar,high,modern_via_naics6
Trading Card Shop,Retail & E-commerce (modern formats),459420,"Gift, Novelty, and Souvenir Retailers",retail.specialty_brick_mortar,high,modern_via_naics6
Used Book Store,Retail & E-commerce (modern formats),459510,Used Merchandise Retailers,retail.specialty_brick_mortar,high,modern_via_naics6
Vape Shop / Vape Store,Retail & E-commerce (modern formats),459991,"Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers",retail.specialty_brick_mortar,high,modern_via_naics6
Vintage Clothing Store,Retail & E-commerce (modern formats),459510,Used Merchandise Retailers,retail.specialty_brick_mortar,high,modern_via_naics6
Florist / Flower Shop,Retail & E-commerce (modern formats),459310,Florists,retail.specialty_brick_mortar,high,modern_via_naics6
Clothing Boutique / Fashion Store,Retail & E-commerce (modern formats),458110,Clothing and Clothing Accessories Retailers,retail.specialty_brick_mortar,high,modern_via_naics6
Shoe Store / Footwear Store,Retail & E-commerce (modern formats),458210,Shoe Retailers,retail.specialty_brick_mortar,high,modern_via_naics6
Jewelry Store / Jeweler,Retail & E-commerce (modern formats),458310,Jewelry Retailers,retail.specialty_brick_mortar,high,modern_via_naics6
Furniture Store,Retail & E-commerce (modern formats),449110,Furniture Retailers,retail.building_home,high,modern_via_naics6
Convenience Store / Mini Mart,Retail & E-commerce (modern formats),445131,Convenience Retailers,retail.grocery_food,high,modern_via_naics6
Liquor Store / Wine Shop,Retail & E-commerce (modern formats),445320,"Beer, Wine, and Liquor Retailers",retail.grocery_food,high,modern_via_naics6
Towing Company / Tow Truck / Roadside Assistance,Trades & Home Services,488410,Motor Vehicle Towing,transportation.trucking_freight,high,modern_keyword_override
Freight Broker / Logistics Broker,Trades & Home Services,488510,Freight Transportation Arrangement,transportation.trucking_freight,high,modern_keyword_override
Soccer Field / Soccer Complex,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_keyword_override
Hockey Rink / Ice Rink / Ice Arena,"Fitness, Wellness & Recreation",711219,Other Spectator Sports,recreation.spectator_sports,high,modern_keyword_override
Fishing Charter / Sport Fishing,"Fitness, Wellness & Recreation",487210,"Scenic and Sightseeing Transportation, Water",transportation.passenger,high,modern_keyword_override
Hunting Guide / Hunting Outfitter,"Fitness, Wellness & Recreation",487210,"Scenic and Sightseeing Transportation, Water",transportation.passenger,high,modern_keyword_override
Cannabis Lounge / Cannabis Bar,Niche & Emerging,459998,Cannabis Consumption Lounges (state-legal),OUT_OF_SCOPE_REGULATED,high,modern_keyword_override
3D Printing Service,"Tech, Digital & Creative",323111,Commercial Printing (except Screen and Books),manufacturing.wood_paper_print,high,modern_via_naics6
AI Consultant / Prompt Engineer,"Tech, Digital & Creative",541512,Computer Systems Design Services,professional.consulting,high,modern_via_naics6
Animation / Motion Graphics Studio,"Tech, Digital & Creative",512110,Motion Picture and Video Production,information.motion_picture_sound,high,modern_via_naics6
Balloon Decor / Balloon Artist,"Tech, Digital & Creative",812990,All Other Personal Services,other_services.personal_care,high,modern_via_naics6
Boudoir Photographer,"Tech, Digital & Creative",541921,"Photography Studios, Portrait",professional.consulting,high,modern_via_naics6
Bounce House / Inflatable Rental,"Tech, Digital & Creative",532289,All Other Consumer Goods Rental,real_estate.equipment_rental,high,modern_via_naics6
Brand / Logo Designer,"Tech, Digital & Creative",541430,Graphic Design Services,professional.architecture_engineering,high,modern_via_naics6
Calligrapher,"Tech, Digital & Creative",711510,"Independent Artists, Writers, and Performers",recreation.performing_arts,high,modern_via_naics6
Computer Repair Shop,"Tech, Digital & Creative",811210,Electronic and Precision Equipment Repair and Maintenance,other_services.repair_machinery_other,high,modern_via_naics6
Content Marketing / Copywriting,"Tech, Digital & Creative",541613,Marketing Consulting Services,professional.consulting,high,modern_via_naics6
Coworking Space,"Tech, Digital & Creative",531120,Lessors of Nonresidential Buildings (except Miniwarehouses),real_estate.property_management,high,modern_via_naics6
Cybersecurity Consultant,"Tech, Digital & Creative",541512,Computer Systems Design Services,professional.consulting,high,modern_keyword_override
DJ Service,"Tech, Digital & Creative",711130,Musical Groups and Artists,recreation.performing_arts,high,modern_via_naics6
Data Analyst / BI Consultant,"Tech, Digital & Creative",541612,Human Resources Consulting Services,professional.consulting,high,modern_via_naics6
Drone Operator / Aerial Imaging,"Tech, Digital & Creative",541922,Commercial Photography,professional.consulting,high,modern_via_naics6
Drone Repair / Service,"Tech, Digital & Creative",811210,Electronic and Precision Equipment Repair and Maintenance,other_services.repair_machinery_other,high,modern_via_naics6
E-Bike / E-Scooter Repair,"Tech, Digital & Creative",811490,Other Personal and Household Goods Repair and Maintenance,other_services.repair_machinery_other,high,modern_via_naics6
Embroidery / Custom Apparel,"Tech, Digital & Creative",315250,Cut and Sew Apparel Manufacturing,manufacturing.textile_apparel,high,modern_via_naics6
Event Planner / Wedding Planner,"Tech, Digital & Creative",812990,All Other Personal Services,other_services.personal_care,high,modern_via_naics6
Event Rental Company,"Tech, Digital & Creative",532289,All Other Consumer Goods Rental,real_estate.equipment_rental,high,modern_via_naics6
Game Console Repair,"Tech, Digital & Creative",811210,Electronic and Precision Equipment Repair and Maintenance,other_services.repair_machinery_other,high,modern_via_naics6
Graphic Designer (Freelance),"Tech, Digital & Creative",541430,Graphic Design Services,professional.architecture_engineering,high,modern_via_naics6
Influencer / Content Creator,"Tech, Digital & Creative",519290,Web Search Portals and All Other Information Services,information.media_publishing,high,modern_via_naics6
Laser Engraving / Cutting Service,"Tech, Digital & Creative",323111,Commercial Printing (except Screen and Books),manufacturing.wood_paper_print,high,modern_via_naics6
Maker Space / Hacker Space,"Tech, Digital & Creative",611699,All Other Miscellaneous Schools and Instruction,education.tutoring_test_prep,high,modern_via_naics6
Mobile App Developer,"Tech, Digital & Creative",541511,Custom Computer Programming Services,information.saas_software,high,modern_keyword_override
Mobile Bar / Bartending Service,"Tech, Digital & Creative",722320,Caterers,hospitality.catering_special_food,high,modern_via_naics6
Music Producer / Recording Studio,"Tech, Digital & Creative",512240,Sound Recording Studios,information.motion_picture_sound,high,modern_via_naics6
Newborn / Maternity Photographer,"Tech, Digital & Creative",541921,"Photography Studios, Portrait",professional.consulting,high,modern_via_naics6
OnlyFans / Adult Content Creator,"Tech, Digital & Creative",519290,Web Search Portals and All Other Information Services,information.media_publishing,high,modern_via_naics6
Photo Booth Rental,"Tech, Digital & Creative",532289,All Other Consumer Goods Rental,real_estate.equipment_rental,high,modern_via_naics6
Photography Studio,"Tech, Digital & Creative",541921,"Photography Studios, Portrait",professional.consulting,high,modern_via_naics6
Podcast Host / Producer,"Tech, Digital & Creative",512240,Sound Recording Studios,information.media_publishing,high,modern_keyword_override
Podcast Production Studio,"Tech, Digital & Creative",512240,Sound Recording Studios,information.media_publishing,high,modern_keyword_override
Real Estate Photographer,"Tech, Digital & Creative",541922,Commercial Photography,professional.consulting,high,modern_via_naics6
SEO / Digital Marketing Agency,"Tech, Digital & Creative",541613,Marketing Consulting Services,professional.consulting,high,modern_keyword_override
SaaS Startup,"Tech, Digital & Creative",541511,Custom Computer Programming Services,information.saas_software,high,modern_keyword_override
Sign Shop / Custom Signage,"Tech, Digital & Creative",323113,Commercial Screen Printing,manufacturing.wood_paper_print,high,modern_via_naics6
Social Media Management Agency,"Tech, Digital & Creative",541613,Marketing Consulting Services,professional.consulting,high,modern_via_naics6
Tech Repair Shop / Phone Repair,"Tech, Digital & Creative",811210,Electronic and Precision Equipment Repair and Maintenance,other_services.repair_machinery_other,high,modern_via_naics6
UX/UI Designer (Freelance),"Tech, Digital & Creative",541430,Graphic Design Services,professional.architecture_engineering,high,modern_via_naics6
Videographer / Video Production,"Tech, Digital & Creative",512110,Motion Picture and Video Production,information.motion_picture_sound,high,modern_via_naics6
Vinyl / Decal Maker,"Tech, Digital & Creative",323113,Commercial Screen Printing,manufacturing.wood_paper_print,high,modern_via_naics6
Voice-Over Artist,"Tech, Digital & Creative",512240,Sound Recording Studios,information.motion_picture_sound,high,modern_via_naics6
Web Design Agency,"Tech, Digital & Creative",541512,Computer Systems Design Services,information.saas_software,high,modern_keyword_override
Wedding DJ,"Tech, Digital & Creative",711130,Musical Groups and Artists,recreation.performing_arts,high,modern_via_naics6
Wedding Photographer,"Tech, Digital & Creative",541921,"Photography Studios, Portrait",professional.consulting,high,modern_via_naics6
Wedding Videographer,"Tech, Digital & Creative",512110,Motion Picture and Video Production,information.motion_picture_sound,high,modern_via_naics6
WordPress / Shopify Developer,"Tech, Digital & Creative",541511,Custom Computer Programming Services,professional.consulting,high,modern_via_naics6
YouTuber / Streamer (Twitch),"Tech, Digital & Creative",519290,Web Search Portals and All Other Information Services,information.media_publishing,high,modern_keyword_override
Boat / Marine Repair,Trades & Home Services,811490,Other Personal and Household Goods Repair and Maintenance,other_services.repair_machinery_other,high,modern_via_naics6
Cabinet Maker,Trades & Home Services,337110,Wood Kitchen Cabinet and Countertop Manufacturing,manufacturing.furniture_misc,high,modern_via_naics6
Ceramic Coating / Auto Spa,Trades & Home Services,811192,Car Washes,other_services.auto_repair,high,modern_via_naics6
Chimney Sweep,Trades & Home Services,561790,Other Services to Buildings and Dwellings,admin.facility_services,high,modern_via_naics6
Christmas Light Installation,Trades & Home Services,561730,Landscaping Services,admin.facility_services,high,modern_via_naics6
Closet / Custom Storage Installer,Trades & Home Services,238350,Finish Carpentry Contractors,construction.residential_trades,high,modern_via_naics6
Concrete Contractor,Trades & Home Services,238110,Poured Concrete Foundation and Structure Contractors,construction.residential_trades,high,modern_via_naics6
Crime Scene Cleanup,Trades & Home Services,562910,Remediation Services,admin.waste_management,high,modern_via_naics6
Deck Builder,Trades & Home Services,238350,Finish Carpentry Contractors,construction.residential_trades,high,modern_via_naics6
Diesel Mechanic,Trades & Home Services,811111,General Automotive Repair,other_services.auto_repair,high,modern_via_naics6
Driveway Sealing,Trades & Home Services,238990,All Other Specialty Trade Contractors,construction.residential_trades,high,modern_via_naics6
Drone Roof Inspection,Trades & Home Services,541350,Building Inspection Services,professional.architecture_engineering,high,modern_via_naics6
Dumpster Rental,Trades & Home Services,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,real_estate.equipment_rental,high,modern_via_naics6
EV Charger Installer,Trades & Home Services,238210,Electrical Contractors and Other Wiring Installation Contractors,construction.residential_trades,high,modern_via_naics6
Fence Installer,Trades & Home Services,238990,All Other Specialty Trade Contractors,construction.residential_trades,high,modern_via_naics6
Fire Damage Restoration,Trades & Home Services,562910,Remediation Services,admin.waste_management,high,modern_via_naics6
Garage Door Installer / Repair,Trades & Home Services,238290,Other Building Equipment Contractors,construction.residential_trades,high,modern_via_naics6
Generator Installer,Trades & Home Services,238210,Electrical Contractors and Other Wiring Installation Contractors,construction.residential_trades,high,modern_via_naics6
Gutter Cleaning,Trades & Home Services,561790,Other Services to Buildings and Dwellings,admin.facility_services,high,modern_via_naics6
Handyman Service,Trades & Home Services,236118,Residential Remodelers,construction.residential_trades,high,modern_via_naics6
Hauling Service,Trades & Home Services,562119,Other Waste Collection,admin.waste_management,high,modern_via_naics6
Hoarding Cleanup,Trades & Home Services,562910,Remediation Services,admin.waste_management,high,modern_via_naics6
Holiday Decorating Service,Trades & Home Services,561730,Landscaping Services,admin.facility_services,high,modern_via_naics6
Home Inspector,Trades & Home Services,541350,Building Inspection Services,professional.architecture_engineering,high,modern_via_naics6
Home Stager,Trades & Home Services,541410,Interior Design Services,professional.architecture_engineering,high,modern_via_naics6
Home Theater Installer,Trades & Home Services,238210,Electrical Contractors and Other Wiring Installation Contractors,construction.residential_trades,high,modern_via_naics6
Hot Tub Installer / Service,Trades & Home Services,238220,"Plumbing, Heating, and Air-Conditioning Contractors",construction.residential_trades,high,modern_via_naics6
